,ID,DOI,DOI_API,DOI_retry_API,complete,csv_post_title,title_API,title_retry_API,good_list
864,674,,10.1111/j.1365-2362.2011.02574.x,10.1161/circulationaha.113.002717,"hata j, arima h, rothwell pm, woodward m, zoungas s, anderson c, patel a, neal b, glasziou p, hamet p, mancia g, poulter n, williams b, macmahon s, chalmers j; advance collaborative group. effects of visit-to-visit variability in systolic blood pressure on macrovascular and microvascular complications in patients with type 2 diabetes mellitus: the advance trial.   sep 17;128(12):1325-24.",effects of visit-to-visit variability in systolic blood pressure on macrovascular and microvascular complications in patients with type 2 diabetes mellitus: the advance trial,Visit-to-visit variability in blood pressure strongly predicts all-cause mortality in patients with type 2 diabetes: a 5·5-year prospective analysis,Effects of Visit-to-Visit Variability in Systolic Blood Pressure on Macrovascular and Microvascular Complications in Patients With Type 2 Diabetes Mellitus,False
906,21,,10.1111/imj.13060,10.1038/ki.2011.413,"hirst ja, taylor ks, stevens rj, blacklock cl, roberts nw, pugh cw, farmer aj. the impact of renin-angiotensin-aldosterone system inhibitors on type 1 and type 2 diabetic patients.   apr;81:674-83.",the impact of renin-angiotensin-aldosterone system inhibitors on type 1 and type 2 diabetic patients,Use of renin angiotensin system inhibitors in patients with chronic kidney disease,The impact of renin–angiotensin–aldosterone system inhibitors on Type 1 and Type 2 diabetic patients with and without early diabetic nephropathy,False
926,581,,10.1002/iid3.135,10.1016/j.jacc.2013.09.074,"holmes mv, simon t, exeter hj, folkersen l, asselbergs fw, guardiola m et al. secretory phospholipase a2-iia and cardiovascular disease: a mendelian randomization study.   jul 19.",secretory phospholipase a2-iia and cardiovascular disease: a mendelian randomization study,Secretory phospholipase A2 in the pathogenesis of acute dengue infection,Limits of Mendelian Randomization Analyses in Selection of Secretory Phospholipase A2-IIA as a Valid Therapeutic Target for Prevention of Cardiovascular Disease,False
933,863,,10.1111/irv.12024,10.1093/cid/cit692,"hoschler k, andrews nj, faust sn, finn a, pollard aj, snape md et al. administration of as03b-adjuvanted a(h1n1)pdm09 vaccine in children aged.   jan;58(2):181-7.",administration of as03b-adjuvanted a(h1n1)pdm09 vaccine in children aged,Influence of renal replacement therapy on immune response after one and two doses of the A(H1N1) pdm09 vaccine,Administration of AS03B-adjuvanted A(H1N1)pdm09 Vaccine in Children Aged <3 Years Enhances Antibody Response to H3 and B Viruses Following a Single Dose of Trivalent Vaccine One Year Later,False
938,981,10.3978/j.issn.2225-319X.2014.05.14,10.1002/bjs.8840,10.1002/bjs.9838,"howard dp, sideso e, handa a, rothwell pm. incidence, risk factors, outcome and projected future burden of acute aortic dissection.   may;3(3):278-84. doi: 10.3978/j.issn.2225-319x.2014.05.14.","incidence, risk factors, outcome and projected future burden of acute aortic dissection",Acute aortic dissection type A,"Age-specific incidence, risk factors and outcome of acute abdominal aortic aneurysms in a defined population",False
952,1936,,10.1002/bjs.10717,10.1159/000444651,"huibers a, de borst gj, thomas dj, moll fl, bulbulia r, halliday a, acst-1 collaborative group. the mechanism of procedural stroke following carotid endarterectomy within the asymptomatic carotid surgery trial 1..   apr;42(3-4):178-185. epub ahead of print.",the mechanism of procedural stroke following carotid endarterectomy within the asymptomatic carotid surgery trial 1.,Meta-analysis of the procedural risks of carotid endarterectomy and carotid artery stenting over time,The Mechanism of Procedural Stroke Following Carotid Endarterectomy within the Asymptomatic Carotid Surgery Trial 1,False
963,850,10.1016/B978-0-444-63274-6.00018-7,10.1002/term.2113,10.1227/neu.0b013e318231d789,"hyam ja, aziz tz, green al. control of the lungs via the human brain using neurosurgery.   jan;209:341-66. doi: 10.1016/b978-0-444-63274-6.00018-7.",control of the lungs via the human brain using neurosurgery,Giving new life to old lungs: methods to produce and assess whole human paediatric bioengineered lungs,Controlling the Lungs Via the Brain,False
977,2324,,10.1111/j.1600-0447.2011.01780.x,10.1136/bmjopen-2016-012356,"iro, m. a., sadarangani, m., absoud, m., chong, w. k., clark, c. a., easton, a., ... & solomon, t. (2016). immunoglobulinin the treatment of encephalitis (ignite): protocol for a multicentre randomised controlled trial. bmj open, 6(11), e012356.",immunoglobulin in the treatment of encephalitis (ignite): protocol for a multicentre randomised controlled trial,A randomised controlled trial of the efficacy of supported employment,"I
            mmuno
            g
            lobuli
            N
            i
            n the
            T
            reatment of
            E
            ncephalitis (IgNiTE): protocol for a multicentre randomised controlled trial",False
978,1408,,10.1111/iju.12660,10.1016/j.urolonc.2014.08.007,"isbarn h, briganti b, de visschere pj, fã•_tterer j, ghadjar p, giannarini g, ost p, ploussard g, sooriakumaran p, surcel c, van oort i, yossepowitch o, van den bergh r. systematic ultrasound-guided saturation and template biopsy of the prostate: indications and advantages of extended sampling.   apr;68(3):296-306.",systematic ultrasound-guided saturation and template biopsy of the prostate: indications and advantages of extended sampling,Transperineal template-guided mapping biopsy of the prostate,Prognostic effect of neuroendocrine differentiation in prostate cancer: A critical review,False
1025,19,,10.1002/mds.25517,10.1097/wnr.0b013e3283525b39,"joundi ra, brittain js, punt td, green al, jenkinson n, aziz tz. stimulation of the subthalamic nucleus improves velocity of ballistic movements in parkinson' s disease.   apr;23(6):390-4.",stimulation of the subthalamic nucleus improves velocity of ballistic movements in parkinson's disease,Pathological crying after subthalamic nucleus stimulation,Stimulation of the subthalamic nucleus improves velocity of ballistic movements in Parkinson’s disease,False
1049,530,,10.1002/jmri.25340,10.1016/j.jcmg.2012.10.030,"karamitsos td, neubauer s. detecting diffuse myocardial fibrosis with cmr: the future has only just begun.   jun;6(6):684-6.",detecting diffuse myocardial fibrosis with cmr: the future has only just begun,Endogenous assessment of diffuse myocardial fibrosis in patients with T1ρ-mapping,Detecting Diffuse Myocardial Fibrosis With CMR,False
1059,234,,10.1111/pedi.12289,10.2217/dmt.12.82,"kavvoura fk, owen kr. maturity onset diabetes of the young: clinical characteristics, diagnosis and management.   dec;10(2):234-42.","maturity onset diabetes of the young: clinical characteristics, diagnosis and management",Characteristics of maturity onset diabetes of the young in a large diabetes center,Biomarkers currently used for the diagnosis of maturity-onset diabetes of the young,False
1103,771,,10.1111/jopy.12018,10.1378/chest.13-1096,"kohler m, stradling jr. osa and hypertension  -  do we know all the answers?.   nov 30;144(5):1433-34.",osa and hypertension  -  do we know all the answers?,What Do We Know When We Know a PersonAcross Contexts? Examining Self-Concept Differentiation at the Three Levels of Personality,OSA and Hypertension,False
1105,4,,10.3724/sp.j.1206.2012.00034,10.1007/s00702-011-0732-4,"kolsch h, lehmann dj, ibrahim-verbaas ca, combarros o, van duijn cm, hammond n, belbin o, cortina-borja m,  g lehmann mg, aulchenko ys, schuur m, breteler m, wilcock gk, brown k, kehoe pg, barber r, coto e, alvarez v,  deloukas p, mateo i, maier w, morgan k, warden dk, smith ad, heun r . interaction of insulin and ppar-alpha genes in alzheimer' s disease: the epistasis project.   apr;119:473-9.",interaction of insulin and ppar-alpha genes in alzheimer's disease: the epistasis project,Role of Neprilysin in The Pathogenesis of Alzheimer′s Disease*,Interaction of insulin and PPAR-α genes in Alzheimer’s disease: the Epistasis Project,False
1133,861,,10.1111/j.1470-6431.2010.00924.x,10.1093/pubmed/fdv112,"lang s, ford kj, john t, pollard aj, mccarthy nd. immunisation errors reported to a vaccine advice service: intelligence to improve practice.   jan;22(3):139-46.",immunisation errors reported to a vaccine advice service: intelligence to improve practice,Energy advice service as perceived by Swedish homeowners,A quantitative review of healthcare professionals' questions to a local immunization advice service: 4299 enquiries from 3 years,False
1135,812,,10.1111/cge.12006,10.1111/cge.12006,"lange la, hu y, zhang h, xue c, schmidt em, tang zz et al. whole-exome sequencing identifies rare and low-frequency coding variants associated with ldl cholesterol.   feb;94(2):233-45.",whole-exome sequencing identifies rare and low-frequency coding variants associated with ldl cholesterol,"Whole exome sequencing identifies a novelDFNA9mutation, C162Y","Whole exome sequencing identifies a novelDFNA9mutation, C162Y",False
1147,269,10.1007/8904_2012_140,10.1002/pd.4757,10.1016/j.fertnstert.2013.07.1373,"lavery s, abdo d, kotrotsou m, trew g, konstantinidis m, wells d. successful live birth following preimplantation genetic diagnosis of phenylketonuria in day 3 embryos by specific mutation analysis and elective single embryo transfer.   jan;7:49-54. doi: 10.1007/8904_2012_140. epub 2012 mar 31.",successful live birth following preimplantation genetic diagnosis of phenylketonuria in day 3 embryos by specific mutation analysis and elective single embryo transfer,Current controversies in prenatal diagnosis 4: preimplantation genetic screening should be routinely offered to all preimplantation genetic diagnosis cases,Clinical pregnancy following preimplantation genetic testing for branchi-oto-renal syndrome,False
1166,675,,10.1002/lary.25260,10.1161/circulationaha.113.005375,"leeson p, thilaganathan b. assisted reshaping of the fetal heart?.   sep 24;128(13):1398-9.",assisted reshaping of the fetal heart?,Laser-assisted cartilage reshaping for protruding ears: A review of the clinical applications,“Assisted” Reshaping of the Fetal Heart?,False
1167,1716,10.1007/s00439-015-1616-8,10.1111/cge.12256,10.1016/j.yonc.2011.10.003,"lei j, rudolph a, moysich kb, behrens s, goode el, bolla mk et al. genetic variation in the immunosuppression pathway genes and breast cancer susceptibility: a pooled analysis of 42,510 cases and 40,577 controls from the breast cancer association consortium.   jan;135(1):137-54. doi: 10.1007/s00439-015-1616-8. epub 2015 nov 30.","genetic variation in the immunosuppression pathway genes and breast cancer susceptibility: a pooled analysis of 42,510 cases and 40,577 controls from the breast cancer association consortium",The impact of next generation sequencing on the analysis of breast cancer susceptibility: a role for extremely rare genetic variation?,Associations of Breast Cancer Risk Factors With Tumor Subtypes: A Pooled Analysis From the Breast Cancer Association Consortium Studies,False
1190,742,,10.1111/jon.12556,10.1161/strokeaha.113.002775,"li l, simoni m, kã•_ker w, schulz ug, christie s, wilcock gk, rothwell pm, kuker w. population-based case-control study of white matter changes on brain imaging in transient ischemic attack and ischemic stroke.   nov;44(11):3063-70.",population-based case-control study of white matter changes on brain imaging in transient ischemic attack and ischemic stroke,White Matter Degeneration after Ischemic Stroke: A Longitudinal Diffusion Tensor Imaging Study,Population-Based Case–Control Study of White Matter Changes on Brain Imaging in Transient Ischemic Attack and Ischemic Stroke,False
1198,83,,None,10.1093/cid/cis327,"lillie, p. j., berthoud, t. k., powell, t. j., lambe, t., mullarkey, c., spencer, a. j., ... & sheehy, s. h. (2012). preliminary assessment of the efficacy of a t-cell–based influenza vaccine, mva-np+ m1, in humans. clinical infectious diseases, 55(1), 19-25.","preliminary assessment of the efficacy of a t-cell-based influenza vaccine, mva-np+m1, in humans",,"Preliminary Assessment of the Efficacy of a T-Cell–Based Influenza Vaccine, MVA-NP+M1, in Humans",False
1225,794,,10.1002/hbm.23299,10.1371/journal.pone.0082762,"little s, tan h, anzak a, pogosyan a, kã•_hn a, brown p. bilateral functional connectivity of the basal ganglia in patients with parkinson' s disease and its modulation by dopaminergic treatment.   dec;8:e82762.",bilateral functional connectivity of the basal ganglia in patients with parkinson's disease and its modulation by dopaminergic treatment,Longitudinal changes in functional connectivity of cortico-basal ganglia networks in manifests and premanifest huntington's disease,Bilateral Functional Connectivity of the Basal Ganglia in Patients with Parkinson’s Disease and Its Modulation by Dopaminergic Treatment,False
1230,889,,10.1002/ijc.28073,10.1158/0008-5472.can-13-2319,"liu s, knapp s, ahmed aa. the structural basis of pi3k cancer mutations.   feb 1;74(3):641-6.",the structural basis of pi3k cancer mutations,"Coexistent mutations ofKRASandPIK3CAaffect the efficacy of NVP-BEZ235, a dual PI3K/MTOR inhibitor, in regulating the PI3K/MTOR pathway in colorectal cancer",The Structural Basis of PI3K Cancer Mutations: From Mechanism to Therapy,False
1294,1723,10.3978/j.issn.2305-5839.2015.09.12,10.1111/j.1365-2222.2010.03681.x,10.4038/cmj.v57i3.4701,"malavige gn, ogg gs.. role of skin homing t cells in acute dengue infection..   oct;3(17):252. doi: 10.3978/j.issn.2305-5839.2015.09.12.",role of skin homing t cells in acute dengue infection.,Skin-homing CD4+ Foxp3+ T cells exert Th2-like function after staphylococcal superantigen stimulation in atopic dermatitis patients,Pathogenesis of severe dengue infection,False
1300,1484,10.1212/WNL.0000000000001606,10.1161/strokeaha.113.002707,10.1177/0333102414547784,"malik r, freilinger t, winsvold bs, anttila v, vander heiden j, traylor m, de vries b, holliday eg, terwindt gm, sturm j, bis jc, hopewell jc, ferrari md, rannikmae k, wessman m, kallela m, kubisch c, fornage m, meschia jf, lehtimã•_ki t, sudlow c, clarke r, chasman di, mitchell bd, maguire j, kaprio j, farrall m, raitakari ot, kurth t, ikram ma, reiner ap, longstreth wt jr, rothwell pm, strachan dp, sharma p, seshadri s, quaye l, cherkas l, schã•_rks m, rosand j, ligthart l, boncoraglio gb, davey smith g, van duijn cm, stefansson k, worrall bb, nyholt dr, markus hs, van den maagdenberg am, cotsapas c, zwart ja, palotie a; international headache genetics consortium, dichgans m; metastroke collaboration of the international stroke genetics consortium. shared genetic basis for migraine and ischemic stroke: a genome-wide analysis of common variants.   may 26;84(21):2132-2145.  doi: 10.1212/wnl.0000000000001606",shared genetic basis for migraine and ischemic stroke: a genome-wide analysis of common variants,Shared Genetic Susceptibility to Ischemic Stroke and Coronary Artery Disease,Concordance of genetic risk across migraine subgroups: Impact on current and future genetic association studies,False
1320,200,,10.1002/hbm.22733,10.1016/j.neuroimage.2012.10.088,"marreiros ac, cagnan h, moran rj, friston kj, brown p. basal ganglia-cortical interactions in parkinsonian patients.   nov;66:301-10.",basal ganglia-cortical interactions in parkinsonian patients,Basal ganglia-cortical structural connectivity in Huntington's disease,Basal ganglia–cortical interactions in Parkinsonian patients,False
1429,2036,,None,10.3233/jad-141764,"mohamed ne, lee jh, francis pt, esiri mm, chen cp, lai mk.. differential alterations of neocortical glun receptor subunits in patients with mixed ischemic vascular dementia and alzheimer's disease..   jan 1;44 (2):431-7.",differential alterations of neocortical glun receptor subunits in patients with mixed ischemic vascular dementia and alzheimer's disease.,,Differential Alterations of Neocortical GluN Receptor Subunits in Patients with Mixed Subcortical Ischemic Vascular Dementia and Alzheimer's Disease,False
1431,170,,None,10.1007/s10072-011-0874-z,"molinari m, nichelli pf, panzetti p, pugnaghi m, zamboni g. ""my sister' s hand is in my bed"": a case of somatoparaphrenia.   oct;33(5):1205-7.",my sister’s hand is in my bed: a case of somatoparaphrenia,,“My sister’s hand is in my bed”: a case of somatoparaphrenia,False
1434,723,,None,10.1186/1532-429x-15-92,"moon jc, messroghli dr, kellman p, piechnik sk, robson md, ugander m, gatehouse pd, arai ae, friedrich mg, neubauer s, schulz-menger j, schelbert eb. myocardial t1 mapping and extracellular volume quantification: a society for cardiovascular magnetic resonance (scmr) and cmr working group of the society of cardiology consensus statement.   oct 14;15(1):92.",myocardial t1 mapping and extracellular volume quantification: a society for cardiovascular magnetic resonance (scmr) and cmr working group of the society of cardiology consensus statement,,Myocardial T1 mapping and extracellular volume quantification: a Society for Cardiovascular Magnetic Resonance (SCMR) and CMR Working Group of the European Society of Cardiology consensus statement,False
1437,1971,,None,10.1037/pas0000327,"morandi s, golay p, vazquez-montes m, rugkã¥sa j, molodynski a, yeeles k, burns t. factorial structure and long-term stability of the autonomy preference index.   apr. epub ahead of print.",factorial structure and long-term stability of the autonomy preference index,,Factorial structure and long-term stability of the Autonomy Preference Index.,False
1454,2340,,None,10.1186/s12885-015-1062-y,"mukherjee s, hurt cn, gwynne s, sebag-montefiore d, radhakrishna g, gollins s, et al. neoscope: a randomised phase ii study of induction chemotherapy followed by oxaliplatin/capecitabine or carboplatin/paclitaxel based pre-operative chemoradiation for resectable oesophageal adenocarcinoma. eur j cancer. 2017;74:38-46.",neoscope: a randomised phase ii study of induction chemotherapy followed by oxaliplatin/capecitabine or carboplatin/paclitaxel based pre-operative chemoradiation for resectable oesophageal adenocarcinoma.,,NEOSCOPE: a randomised Phase II study of induction chemotherapy followed by either oxaliplatin/capecitabine or paclitaxel/carboplatin based chemoradiation as pre-operative regimen for resectable oesophageal adenocarcinoma,False
1458,2251,,None,10.1186/bcr2874,"muranen ta, greco d, blomqvist c, aittomaki k, khan s, hogervorst f et al. genetic modifiers of chek2*1100delc-associated breast cancer risk.   oct 6. pubmed pmid: 27711073. epub 2016/10/07. eng.",genetic modifiers of chek2*1100delc-associated breast cancer risk,,Breast tumors from CHEK2 1100delC mutation carriers: genomic landscape and clinical implications,False
1478,679,,10.1002/ajh.24270,10.1200/jco.2013.48.8114,"nagler a, rocha v, labopin m, unal a, ben othman t, campos a et al. allogeneic hematopoietic stem-cell transplantation for acute myeloid leukemia in remission: comparison of intravenous busulfan plus cyclophosphamide (cy) versus total-body irradiation plus cy as conditioning regimen - a report from the acute leukemia working party of the european group for blood and marrow transplantation.   oct;31(28):3549-56.",allogeneic hematopoietic stem-cell transplantation for acute myeloid leukemia in remission: comparison of intravenous busulfan plus cyclophosphamide (cy) versus total-body irradiation plus cy as conditioning regimen - a report from the acute leukemia working party of the european group for blood and marrow transplantation,Impact of age on outcomes of allogeneic hematopoietic stem cell transplantation with reduced intensity conditioning in elderly patients with acute myeloid leukemia,Allogeneic Hematopoietic Stem-Cell Transplantation for Acute Myeloid Leukemia in Remission: Comparison of Intravenous Busulfan Plus Cyclophosphamide (Cy) Versus Total-Body Irradiation Plus Cy As Conditioning Regimen—A Report From the Acute Leukemia Working Party of the European Group for Blood and Marrow Transplantation,False
1515,146,,10.1002/uog.15777,10.1093/humrep/des219,"noble j, poli m, griffiths t, emerson g, wells d, filho es. a method for semi-automatic grading of human blastocysts.   sep;27(9):2641-8.",a method for semi-automatic grading of human blastocysts,Semi-automatic outlining of levator hiatus,A method for semi-automatic grading of human blastocyst microscope images,False
1549,793,,10.3724/sp.j.1206.2010.00393,10.1097/wco.0000000000000034,"oswal a, brown p, litvak v. synchronised neural oscillations and the pathophysiology of parkinson' s disease..   dec;26:662-70.",synchronised neural oscillations and the pathophysiology of parkinson's disease.,DJ-1 and Parkinson′s Disease*,Synchronized neural oscillations and the pathophysiology of Parkinsonʼs disease,False
1558,389,,None,10.1111/dme.12038,"owen kr, lawrence rd. rd lawrence lecture 2012: assessing aetiology in diabetes: how c-peptide, crp and fucosylation came to the party!.   mar;30(3):260-6.","rd lawrence lecture 2012: assessing aetiology in diabetes: how c-peptide, crp and fucosylation came to the party!",,"RD Lawrence Lecture 2012Assessing aetiology in diabetes: how C-peptide, CRP and fucosylation came to the party!",False
1564,2252,,None,10.1002/ccr3.663,"pagnamenta at, howard mf, knight sj, keays da, quaghebeur g, taylor jc et al. activation of an exonic splice-donor site in exon 30 of cdk5rap2 in a patient with severe microcephaly and pigmentary abnormalities.   oct;4(10):952-6. pubmed pmid: 27761245. pubmed central pmcid: 5054469. epub 23/08/2016.",activation of an exonic splice-donor site in exon 30 of cdk5rap2 in a patient with severe microcephaly and pigmentary abnormalities,,Activation of an exonic splice-donor site in exon 30 ofCDK5RAP2in a patient with severe microcephaly and pigmentary abnormalities,False
1595,1135,,10.1002/ccd.26550,10.1016/j.jcin.2014.04.011,"patel n, de maria gl, kassimis g, rahimi k, bennett d, ludman p et al. outcomes after emergency percutaneous coronary intervention in patients with unprotected left main stem occlusion: the bcis national audit of percutaneous coronary intervention 6-year experience.   sep;7(9):969-80.",outcomes after emergency percutaneous coronary intervention in patients with unprotected left main stem occlusion: the bcis national audit of percutaneous coronary intervention 6-year experience,First-in-human robotic percutaneous coronary intervention for unprotected left main stenosis,Outcomes After Emergency Percutaneous Coronary Intervention in Patients With Unprotected Left Main Stem Occlusion,False
1677,1122,,10.1111/j.1440-1754.2012.02465.x,10.1212/wnl.0000000000000737,"poidvin a, touzå½ e, ecosse e, landier f, bå½jot y, giroud m, rothwell pm, carel jc, coste j., touze e. growth hormone treatment for childhood short stature and risk of stroke in early adulthood..   aug 26(83(9)):780-6.",growth hormone treatment for childhood short stature and risk of stroke in early adulthood.,Debate: Idiopathic short stature should be treated with growth hormone,Growth hormone treatment for childhood short stature and risk of stroke in early adulthood,False
1682,1033,,10.1111/jpc.13856,10.4161/hv.7.8.16270,pollard aj. meningococcal disease prevention in india.   jun 8;51(6):445-6.,meningococcal disease prevention in india,Neonatal meningococcal disease,Meningococcal disease: The advances and challenges of meningococcal disease prevention,False
1697,34,,10.1111/nbu.12102,10.1016/j.bbamcr.2015.11.010,"prendergast b, coope lt, crijns h, falkenstein e, folsch u, halvorsen s, janssens s, jokinen e, kroemer hk, lucke a, murer h, nagel e, neyses l, perk j, probst-hensch n, rietschel et, rutten h, steingen c, tedgui a, gilst w, eschenhagen t, kristensen sd. the german centre for cardiovascular research.   may.",the german centre for cardiovascular research,"Twenty years of research in the Human Nutrition Research Centre, Newcastle University, 1994-2014",Heart regeneration,False
1698,684,,10.1111/jocs.12732,10.1038/nrcardio.2013.130,"prendergast b, harrison j. valve disease: is early surgery beneficial in prosthetic valve endocarditis?.   oct;10(10):556-7.",valve disease: is early surgery beneficial in prosthetic valve endocarditis?,Prosthetic Valve Endocarditis Following Dental Extractions,Is early surgery beneficial in prosthetic valve endocarditis?,False
1729,1232,,None,10.3727/096368914x685320,"ramnath rd, maillard e, jones k, bateman pa, hughes ss, gralla j, johnson pr, gray dw. in vitro assessment of human islet vulnerability to instant blood mediated inflammatory reaction (ibmir) and its use to demonstrate a beneficial effect of tissue culture.   nov 5.",in vitro assessment of human islet vulnerability to instant blood mediated inflammatory reaction (ibmir) and its use to demonstrate a beneficial effect of tissue culture,,In Vitro Assessment of Human Islet Vulnerability to Instant Blood-Mediated Inflammatory Reaction (IBMIR) and Its Use to Demonstrate a Beneficial Effect of Tissue Culture,False
1730,1326,,None,10.1056/nejmc1505499,"rampling t, ewer k, bowyer g, wright d, imoukhuede eb, payne r et al. a monovalent chimpanzee adenovirus ebola vaccine  -  preliminary report.   jan 28. [epub ahead.",a monovalent chimpanzee adenovirus ebola vaccine  -  preliminary report,,Chimpanzee Adenovirus Vector Ebola Vaccine — Preliminary Report,False
1731,2042,10.1093/infdis/jiw244,None,10.3389/fimmu.2018.01660,"rampling t, ewer kj, bowyer g, bliss cm, edwards nj, wright d et al. safety and high level efficacy of the combination malaria vaccine regimen of rts,s/as01b with chad-mva vectored vaccines expressing me-trap.   sep;214(5):772-81. doi: 10.1093/infdis/jiw244. epub 2016 jun 15.","safety and high level efficacy of the combination malaria vaccine regimen of rts,s/as01b with chad-mva vectored vaccines expressing me-trap",,"CXCR3+ T Follicular Helper Cells Induced by Co-Administration of RTS,S/AS01B and Viral-Vectored Vaccines Are Associated With Reduced Immunogenicity and Efficacy Against Malaria",False
1733,1056,,None,10.1177/1471301215615780,"rand l, sheehan m. healthcare resource allocation: balancing principles and practices for dementia.   jul. in c. foster, j. herring and i. doron (eds.) the law and ethics of dementia. oxford: hart.",healthcare resource allocation: balancing principles and practices for dementia,,"Charles Foster, Jonathan Herring and Israel Doron (eds), The law and ethics of dementia",False
1734,504,10.1371/journal.pgen.1003500,None,10.1093/bioinformatics/btu621,"randall jc, winkler tw, kutalik z, berndt si, jackson au, monda kl et al. sex-stratified genome-wide association studies including 270,000 individuals show sexual dimorphism in genetic loci for anthropometric traits.   jun;9(6):e1003500. doi: 10.1371/journal.pgen.1003500.","sex-stratified genome-wide association studies including 270,000 individuals show sexual dimorphism in genetic loci for anthropometric traits",,EasyStrata: evaluation and visualization of stratified genome-wide association meta-analysis data,False
1746,439,,None,,"reesink hw, davis k, wong j, schwartz dw, mayr wr, devine dv et al. the use of the electronic (computer) cross-match.   may;104(4):350-64.",the use of the electronic (computer) cross-match,,,False
1747,1025,10.1111/psyp.12197,None,,"reiser em, weiss em, schulter g, holmes ea, fink a, papousek i. prefrontal-posterior coupling while observing the suffering of other people, and the development of intrusive memories.   jun;51(6):546-55. doi: 10.1111/psyp.12197. epub 2014 feb 24.","prefrontal-posterior coupling while observing the suffering of other people, and the development of intrusive memories",,,False
1748,1434,10.1371/journal.pgen.1005061,None,,"reschen me, gaulton kj, lin d, soilleux ej, morris aj, smyth ss, o'callaghan ca. lipid-induced epigenomic changes in human macrophages identify a coronary artery disease associated variant that regulates ppap2b expression through altered c/ebp-beta binding.   apr 2;11(4). e1005061. doi: 10.1371/journal.pgen.1005061. ecollection 2015..",lipid-induced epigenomic changes in human macrophages identify a coronary artery disease associated variant that regulates ppap2b expression through altered c/ebp-beta binding,,,False
1749,118,10.1038/mt.2012.25,None,,"reyes-sandoval a, rollier cs, milicic a, bauza k, cottingham mg, tang ck, dicks md, wang d, longley rj, wyllie dh, hill av. mixed vector immunization with recombinant adenovirus and mva can improve vaccine efficacy while decreasing antivector immunity.   aug;20(8):1633-47. doi: 10.1038/mt.2012.25. epub 2012 feb 21.",mixed vector immunization with recombinant adenovirus and mva can improve vaccine efficacy while decreasing antivector immunity,,,False
1750,1230,,None,,"reynolds cj, jones c, blohmke cj, darton tc, goudet a, sergeant r et al. the serodominant secreted effector protein of salmonella, sseb, is a strong cd4 antigen containing an immunodominant epitope presented by diverse hla class ii alleles.   nov;143(3):438-46.","the serodominant secreted effector protein of salmonella, sseb, is a strong cd4 antigen containing an immunodominant epitope presented by diverse hla class ii alleles",,,False
1751,1006,,None,,"richens jl, vere ka, light ra, soria d, garibaldi j, smith ad, warden d, wilcock g, bajaj n, morgan k, o'shea p. practical detection of a definitive biomarker panel for alzheimer' s disease; comparisons between matched plasma and cerebrospinal fluid.   may 29;5(2):53-70.",practical detection of a definitive biomarker panel for alzheimer's disease; comparisons between matched plasma and cerebrospinal fluid,,,False
1752,1439,10.1371/journal.pone.0119605,None,,"ricigliano va, handel ae, sandve gk, annibali v, ristori g, mechelli r, cader mz, salvetti m. ebna2 binds to genomic intervals associated with multiple sclerosis and overlaps with vitamin d receptor occupancy.   apr 8;10(4). doi: 10.1371/journal.pone.0119605.",ebna2 binds to genomic intervals associated with multiple sclerosis and overlaps with vitamin d receptor occupancy,,,False
1753,1116,10.1016/j.vaccine.2014.04.022,None,,"rid a, saxena a, baqui ah, bhan a, bines j, bouesseau mc, caplan a, colgrove j, dhai a, gomez-diaz r, green sk, kang g, lagos r, loh p, london aj, mulholland k, neels p, pitisuttithum p, sarr sc, selgelid m, sheehan m, smith pg. placebo use in vaccine trials: recommendations of a who expert panel.   aug 20;32(37):4708-12. doi:10.1016/j.vaccine.2014.04.022.",placebo use in vaccine trials: recommendations of a who expert panel,,,False
1754,1200,,None,,"rider oj, ajufo e, ali mk, petersen se, nethononda r, francis jm et al. myocardial tissue phase mapping reveals impaired myocardial tissue velocities in obesity.   oct 11.",myocardial tissue phase mapping reveals impaired myocardial tissue velocities in obesity,,,False
